metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2020-05-08,United States,Remaining Categories,611798.571417,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-06,International,Remaining Categories,382000.032320,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-03,International,Computers,8975433.933669,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-18,United States,Clothing & Accessories,13724521.071819,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-11,United States,Tickets & Travel,192465.301516,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-25,United States,Toys & Hobbies,3685934.104205,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-21,United States,Computers,7714812.743650,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-19,United States,Toys & Hobbies,3604165.714085,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-08,United States,Musical Instruments,1685871.752811,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-07,United States,Health & Beauty,3816483.853136,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-01,United States,Consumer Electronics,2960678.248494,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-11,United States,Home & Garden,8955866.465088,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-08-31,International,Collectibles & Art,6576515.790987,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-14,United States,Consumer Electronics,4838824.298518,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-12,United States,"Business, Office & Industrial",6897195.668721,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-11,United States,Video Games,2132775.520039,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-30,International,Clothing & Accessories,15448991.449821,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-25,International,Consumer Electronics,5342308.963602,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-09,International,Photo,2235392.576773,2021-04-01,2021-06-30
